,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
0,Pandan,66,PH,1575598313,77,11.72,122.09,81.97,7.23
1,Banyuwangi,35,ID,1575598313,65,-8.21,114.37,85.24,7.87
2,Vaini,75,IN,1575598313,93,15.34,74.49,64.4,4.7
3,Ribeira Grande,98,PT,1575598313,84,38.52,-28.7,56.98,4.97
4,Mount Gambier,75,AU,1575598313,72,-37.83,140.78,59.0,18.34
5,Airai,56,TL,1575598313,31,-8.93,125.41,87.46,7.05
6,Oil City,90,US,1575598313,92,41.43,-79.71,30.99,3.36
7,Albany,40,US,1575598040,68,42.65,-73.75,32.0,10.29
8,Ushuaia,75,AR,1575598313,81,-54.81,-68.31,42.8,40.26
9,Anchorage,90,US,1575598313,71,61.22,-149.89,10.4,10.31
10,Sitka,100,US,1575598313,64,37.17,-99.65,46.99,10.0
11,Dikson,100,RU,1575598313,95,73.51,80.55,-5.75,16.96
12,Kapaa,75,US,1575598313,78,22.08,-159.32,82.4,13.87
13,Bredasdorp,0,ZA,1575598313,93,-34.53,20.04,48.2,1.12
14,Busselton,100,AU,1575598313,39,-33.64,115.35,83.88,12.82
15,Keti Bandar,100,PK,1575598313,27,24.14,67.45,72.46,20.78
16,Castro,100,CL,1575598314,76,-42.48,-73.76,53.6,6.93
17,Borogontsy,100,RU,1575598314,94,62.67,131.17,-37.01,6.58
18,Barrow,0,AR,1575598314,48,-38.31,-60.23,56.17,5.46
19,Thompson,20,CA,1575598314,75,55.74,-97.86,-14.8,3.36
20,Husavik,36,CA,1575598314,84,50.56,-96.99,14.0,8.01
21,Saint-Philippe,90,CA,1575598314,68,45.36,-73.48,25.0,13.87
22,Punta Arenas,40,CL,1575598314,57,-53.16,-70.91,48.2,19.46
23,New Norfolk,40,AU,1575598314,38,-42.78,147.06,60.8,24.16
24,Arraial do Cabo,100,BR,1575598314,91,-22.97,-42.02,75.88,18.19
25,Goderich,100,CA,1575598264,82,43.74,-81.71,35.01,7.0
26,Clyde River,90,CA,1575598314,76,70.47,-68.59,-5.8,12.75
27,Port Alfred,0,ZA,1575598314,88,-33.59,26.89,59.0,1.99
28,Rocha,0,UY,1575598314,67,-34.48,-54.34,50.94,5.7
29,Venice,1,US,1575598314,62,27.1,-82.45,57.2,4.7
30,Hermanus,0,ZA,1575598314,41,-34.42,19.24,70.0,3.0
31,Atuona,0,PF,1575598314,72,-9.8,-139.03,80.33,14.92
32,Wiarton,90,CA,1575598314,74,44.74,-81.13,28.99,5.5
33,Jamestown,0,AU,1575598314,14,-33.21,138.6,80.01,13.06
34,Merrill,75,US,1575598314,93,42.03,-121.6,35.6,4.7
35,Chokurdakh,0,RU,1575598314,90,70.62,147.9,-12.57,14.05
36,Hilo,90,US,1575598049,78,19.71,-155.08,73.4,3.36
37,Fatehpur,0,PK,1575598314,29,31.18,71.21,60.84,0.34
38,Okha,100,RU,1575598314,92,53.59,142.95,15.4,25.39
39,Butaritari,100,KI,1575598315,89,3.07,172.79,78.67,13.56
40,Sao Filipe,70,CV,1575598315,77,14.9,-24.5,68.29,18.92
41,Babylon,75,US,1575598315,55,40.7,-73.33,39.2,9.17
42,Geraldton,90,CA,1575598315,92,49.72,-86.95,17.6,5.82
43,Mataura,67,NZ,1575598315,89,-46.19,168.86,57.99,1.99
44,Podgornoye,100,RU,1575598315,97,57.79,82.64,31.96,8.14
45,Provideniya,40,RU,1575598315,78,64.42,-173.23,17.6,22.37
46,Sovetskaya Gavan,0,RU,1575598315,50,48.97,140.29,16.57,17.22
47,Siwan,80,IN,1575598315,48,26.22,84.36,67.82,1.72
48,Alofi,60,NU,1575598315,78,-19.06,-169.92,80.76,12.53
49,Tasiilaq,0,GL,1575598315,58,65.61,-37.64,24.8,5.82
50,Hobart,40,AU,1575598315,38,-42.88,147.33,60.8,24.16
51,Pimentel,79,BR,1575598315,92,-3.7,-45.5,73.98,4.12
52,Korsor,100,DK,1575598315,100,55.33,11.14,41.0,18.34
53,Hithadhoo,100,MV,1575598315,75,-0.6,73.08,82.42,3.78
54,Hasaki,75,JP,1575598315,52,35.73,140.83,44.6,12.75
55,Koygorodok,100,RU,1575598315,97,60.44,51.01,33.82,15.1
56,Rabo de Peixe,20,PT,1575598315,87,37.8,-25.58,53.6,6.93
57,Puerto Ayora,50,EC,1575598189,90,-0.74,-90.35,72.0,1.99
58,Bathsheba,40,BB,1575598315,74,13.22,-59.52,80.6,19.46
59,Iranshahr,0,IR,1575598315,55,27.21,60.69,60.91,2.93
60,Pyay,99,MM,1575598316,64,18.82,95.22,72.48,6.82
61,Talnakh,75,RU,1575598316,92,69.49,88.39,12.2,26.84
62,Bilibino,100,RU,1575598316,88,68.06,166.44,-5.46,8.79
63,Eyl,100,SO,1575598316,70,7.98,49.82,81.14,16.89
64,Kirakira,100,SB,1575598316,76,-10.46,161.92,82.8,2.48
65,Koryukivka,0,UA,1575598316,79,51.77,32.25,28.65,12.24
66,Port-Gentil,98,GA,1575598316,82,-0.72,8.78,79.21,10.78
67,Saint George,65,GR,1575598316,86,39.45,22.34,44.55,0.25
68,Berlevag,100,NO,1575598316,97,70.86,29.09,33.66,36.78
69,Avarua,0,CK,1575598316,78,-21.21,-159.78,80.6,16.11
70,Rikitea,45,PF,1575598316,80,-23.12,-134.97,77.86,10.07
71,Saldanha,0,PT,1575598316,90,41.42,-6.55,39.47,4.12
72,Esperance,0,AU,1575598316,43,-33.86,121.89,73.4,11.41
73,Poum,2,MK,1575598316,84,41.28,20.71,34.5,0.98
74,North Platte,90,US,1575598033,74,41.12,-100.77,37.4,16.11
75,Yumen,6,CN,1575598316,37,40.29,97.04,26.19,14.07
76,Nueva Loja,0,EC,1575598316,88,0.08,-76.88,78.8,5.82
77,Klyuchi,100,RU,1575598316,97,52.25,79.17,32.2,13.98
78,Souillac,90,FR,1575598317,100,45.6,-0.6,37.4,2.24
79,Storforshei,100,NO,1575598317,97,66.4,14.52,21.33,4.27
